usuario;tweet;sentimento
"@CETSP_";"Replying to @feltrinoficial";"0.0"
"@CETSP_";"O Rodízio Municipal de Veículos está suspenso para carros e caminhões, nesta segunda-feira (10), o dia todo, devido às fortes chuvas que atingiram a Capital.";"-0.1625"
"@CETSP_";" Amanhã tem Clássico entre @SaoPauloFC X @Palmeiras! O trânsito será monitorado nas imediações do Estádio Municipal Paulo Machado de Carvalho #Pacaembu, das 06h às 21h30. Veja: http://bit.ly/2O5zCn2#ChoqueRei #Paulistão2019 #SPFCxPAL #CampeonatoPaulista";"0.20833333333333331"
"@CETSP_";"#TBT Você conhece esta avenida?";"0.0"
"@CETSP_";"Hey, você!Tenha responsabilidade no trânsito, seu amigo te espera em casa. ";"0.2"
"@CETSP_";"#TBT Esta foto da década de 1960 retrata uma importante avenida da cidade de São Paulo.Você sabe qual é? Segunda-feira daremos a resposta, será que você acerta? ";"0.34285714285714286"
"@CETSP_";"#TBT Nesta foto dos anos 80, você consegue identificar esta via?";"0.0"
"@CETSP_";"#TBT Você consegue identificar esta importante avenida da cidade de São Paulo? Conta pra gente.";"0.4"
"@CETSP_";"Você sabe o que esta placa indica?";"0.0"
"@CETSP_";" Trânsito será monitorado nas imediações da @AllianzParque, na Pompeia, amanhã (6), terça-feira (13) e quarta-feira (14), das 8h à 1h do dia seguinte, para a realização do show “Harry Styles”, com público estimado de 49 mil pessoas.  Saiba mais: http://kli.cx/ind2";"0.25"
"@CETSP_";"|￣￣￣￣￣￣￣||      RODÍZIO     ||  DE VEÍCULOS  ||   SUSPENSO    ||   DE 23/12/19  |  |    A 10/01/20    ||＿＿＿＿＿＿＿| ∧＿∧   ||(  ´ω` )  ||/ 　　づSeguem valendo normalmente o rodízio de placas para caminhões e as demais restrições: ZMRC e ZMRF.";"0.012499999999999997"
"@CETSP_";"#TBT Você sabe qual rua é esta?";"0.0"
"@CETSP_";" Respeite as vagas reservadas para idosos e deficientes físicos. Além de evitar multas, você colabora para um trânsito mais inclusivo e cidadão. #NickiDay";"0.15"
"@CETSP_";"""Quando vejo motoristas avançando a faixa de pedestres"". A pratica representa infração grave e 5 pontos na carteira. Respeite o pedestre! #BritVoteLittleMix #TrânsitoSeguro";"-0.41666666666666663"
"@CETSP_";"#TBT Rua Iguatemi - Itaim Bibi, anos 80. Você já passou por aqui? Já pegou este ônibus?";"0.0"
"@CETSP_";"A partir de amanhã (8), o uso dos faróis baixos nas rodovias, durante o dia, será obrigatório em todo o país.";"0.5"
"@CETSP_";"#TBT Você saberia dizer o nome dessa avenida? Conta pra gente!";"0.0"
"@CETSP_";"As blitz policiais estão nas ruas para garantir a segurança da população. Pense nisso. Não divulgue blitz!";"0.0"
"@CETSP_";" A Prefeitura não utiliza radares instalados em carros para fiscalização. Desde maio de 2017, foram excluídos todos os radares móveis da cidade. Mais informações: https://facebook.com/CETSaoPaulo/posts/742310779313006…";"0.5"
"@CETSP_";"#SERVIÇO: As blitz policiais estão nas ruas para garantir a segurança da população. Pense nisso. Não divulgue blitz!";"0.0"
